case_id,lot_id,root_cause_id,suspected_cause,recommended_action,outcome,evidence_ids,supports_abstention,top3_acceptable_causes
RCA_ABRUPT_001,SYNV2_00001,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00001,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_002,SYNV2_00002,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00002,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_009,SYNV2_00157,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00157,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_012,SYNV2_00192,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00192,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_013,SYNV2_00194,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00194,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_016,SYNV2_00201,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00201,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_026,SYNV2_00284,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00284,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_028,SYNV2_00325,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00325,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_029,SYNV2_00343,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00343,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_034,SYNV2_00389,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00389,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_035,SYNV2_00421,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00421,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_037,SYNV2_00441,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00441,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_040,SYNV2_00491,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00491,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_043,SYNV2_00520,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00520,False,RC_PRESSURE_INSTABILITY
RCA_GRADUAL_011,SYNV2_00137,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00137,False,RC_COMPONENT_WEAR
RCA_GRADUAL_015,SYNV2_00165,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00165,False,RC_COMPONENT_WEAR
RCA_GRADUAL_017,SYNV2_00185,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00185,False,RC_COMPONENT_WEAR
RCA_GRADUAL_018,SYNV2_00198,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00198,False,RC_COMPONENT_WEAR
RCA_GRADUAL_019,SYNV2_00211,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00211,False,RC_COMPONENT_WEAR
RCA_GRADUAL_020,SYNV2_00236,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00236,False,RC_COMPONENT_WEAR
RCA_GRADUAL_022,SYNV2_00244,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00244,False,RC_COMPONENT_WEAR
RCA_GRADUAL_025,SYNV2_00332,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00332,False,RC_COMPONENT_WEAR
RCA_GRADUAL_034,SYNV2_00521,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00521,False,RC_COMPONENT_WEAR
RCA_GRADUAL_036,SYNV2_00531,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00531,False,RC_COMPONENT_WEAR
RCA_GRADUAL_040,SYNV2_00585,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00585,False,RC_COMPONENT_WEAR
RCA_GRADUAL_044,SYNV2_00648,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00648,False,RC_COMPONENT_WEAR
RCA_GRADUAL_045,SYNV2_00669,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00669,False,RC_COMPONENT_WEAR
RCA_GRADUAL_046,SYNV2_00670,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00670,False,RC_COMPONENT_WEAR
RCA_VARIANCE_002,SYNV2_00056,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00056,False,RC_PROCESS_VARIABILITY
RCA_VARIANCE_003,SYNV2_00127,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00127,False,RC_PROCESS_VARIABILITY
