case_id,lot_id,root_cause_id,suspected_cause,recommended_action,outcome,evidence_ids,supports_abstention,top3_acceptable_causes
RCA_ABRUPT_003,SYNV2_00010,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00010,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_016,SYNV2_00201,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00201,False,RC_PRESSURE_INSTABILITY
RCA_GRADUAL_005,SYNV2_00072,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00072,False,RC_COMPONENT_WEAR
RCA_GRADUAL_008,SYNV2_00118,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00118,False,RC_COMPONENT_WEAR
RCA_VARIANCE_002,SYNV2_00056,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00056,False,RC_PROCESS_VARIABILITY
RCA_VARIANCE_019,SYNV2_00321,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00321,False,RC_PROCESS_VARIABILITY
RCA_SENSOR_DROPOUT_SYNV2_00420,SYNV2_00420,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00420,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00497,SYNV2_00497,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00497,False,RC_SENSOR_HARDWARE
RCA_CONTEXTUAL_003,SYNV2_00736,RC_RECIPE_CONTEXT_MISMATCH,Synthetic recipe-context mismatch: the paired CTX_PAIR_003 sensor profile is normal under RCP_A but anomalous under RCP_B.,"Verify the active recipe, compare only with context-matched historical lots, and review recipe sensor limits before escalating as tool failure.",Synthetic contextual anomaly injected with a paired Recipe A normal control.,EVID_CONTEXT_EVENT_001;EVID_CONTEXT_ANOMALY_CTX_PAIR_003;EVID_CONTEXT_CONTROL_CTX_PAIR_003,False,
RCA_CONTEXTUAL_027,SYNV2_01100,RC_RECIPE_CONTEXT_MISMATCH,Synthetic recipe-context mismatch: the paired CTX_PAIR_027 sensor profile is normal under RCP_A but anomalous under RCP_B.,"Verify the active recipe, compare only with context-matched historical lots, and review recipe sensor limits before escalating as tool failure.",Synthetic contextual anomaly injected with a paired Recipe A normal control.,EVID_CONTEXT_EVENT_001;EVID_CONTEXT_ANOMALY_CTX_PAIR_027;EVID_CONTEXT_CONTROL_CTX_PAIR_027,False,
